Year,Trophy,Producer,Product,Class
2013,🏆 Champion Cider,Thatchers Cider,Vintage,Cider 5.1% ABV and above
2015,🏆 Champion Cider,Mac Ivors Cider,Traditional Dry Cider,Open Apple Class - Medium
2017,🏆 Champion Cider,Zeffer,Cidre Demi Sec,Cider Apple Class - Sweet
2019,🏆 Classic Cider,Hogan's Cider,Libertine,Tannic Cider - Sweet
2019,🏆 Flavoured Cider,Stonewell Cider,Rós,Fruit Flavoured - Fruits & Flowers
2019,🏆 Innovative Cider,Stonewell Cider,Tawny,Open Class Cider
2021,🏆 Classic Cider,Sheppy's Cider,Vintage Cloudy Cider,Tannic Cider - Dry
2021,🏆 Flavoured Cider,Sidewood Estate,Strawberry Apple Cider,Fruit Flavoured Cider - Berries
2021,🏆 Innovative Cider,Ramborn Cider Co.,Ice Perry,Ice Cider
2024,🏆 Classic Cider,Portland Cider Company,Original Gold,Modern Cider ‐ Sweet
2024,🏆 Flavoured Cider,Stonewell Cider,Rós,Cider with Other Fruits & Flowers
2024,🏆 Innovative Cider,Cotswold Cider Company,Phantom of the Orchard,Low & No Cider and Perry
